trading_date_yw,risk_free_return
2017/1/1,0.000571405
2017/1/8,0.000737671
2017/1/15,0.000543277
2017/1/22,0.000773641
2017/1/29,0.000802029
2017/2/5,0.00081655
2017/2/12,0.000575116
2017/2/19,0.000809953
2017/2/26,0.000806844
2017/3/5,0.000580976
2017/3/12,0.000886407
2017/3/19,0.000585962
2017/3/26,0.000598282
2017/4/2,0.000848845
2017/4/9,0.000861073
2017/4/16,0.000895158
2017/4/23,0.000895857
2017/4/30,0.000909536
2017/5/7,0.000929767
2017/5/14,0.000935191
2017/5/21,0.000933955
2017/5/28,0.000936786
2017/6/4,0.000748635
2017/6/11,0.000929867
2017/6/18,0.000927414
2017/6/25,0.000899912
2017/7/2,0.000891842
2017/7/9,0.000889484
2017/7/16,0.000697748
2017/7/23,0.000902368
2017/7/30,0.000682743
2017/8/6,0.00090125
2017/8/13,0.000909655
2017/8/20,0.000910494
2017/8/27,0.000694966
2017/9/3,0.000923644
2017/9/10,0.000712098
2017/9/17,0.000918397
2017/9/24,0.000923804
2017/10/1,0.000923804
2017/10/8,0.00091686
2017/10/15,0.00071365
2017/10/22,0.000946931
2017/10/29,0.000951155
2017/11/5,0.000963643
2017/11/12,0.000740186
2017/11/19,0.000750928
2017/11/26,0.001026311
2017/12/3,0.001003111
2017/12/10,0.001012072
2017/12/17,0.000776876
2017/12/24,0.001059737
2018/1/1,0.000724848
2018/1/8,0.000733605
2018/1/15,0.000729096
2018/1/22,0.000721082
2018/1/29,0.000704944
2018/2/5,0.000696175
2018/2/12,0.000691558
2018/2/19,0.000692223
2018/2/26,0.000670371
2018/3/5,0.000668534
2018/3/12,0.000679736
2018/3/19,0.00066385
2018/3/26,0.000681088
2018/4/2,0.000672108
2018/4/9,0.0006567
2018/4/16,0.000617233
2018/4/23,0.00061529
2018/4/30,0.000603284
2018/5/7,0.000601927
2018/5/14,0.000630383
2018/5/21,0.000641262
2018/5/28,0.00064874
2018/6/4,0.000658801
2018/6/11,0.000660134
2018/6/18,0.000672087
2018/6/25,0.000648154
2018/7/2,0.000620207
2018/7/9,0.00062923
2018/7/16,0.000626257
2018/7/23,0.000596256
2018/7/30,0.000560207
2018/8/6,0.000560309
2018/8/13,0.000592366
2018/8/20,0.000583104
2018/8/27,0.000584625
2018/9/3,0.000584361
2018/9/10,0.000588111
2018/9/17,0.000621381
